width,noise,instance number, greedy mean,greedy stdev,pagerank value,regret value,optimal value
100,0.7,13,41.59,0.640584,41.8405,43.2703,44.167,45.3127
100,0.7,14,40.46,0.682993,40.9257,42.1996,43.3128,44.9007
100,0.7,15,40.62,0.665721,41.1788,42.473,43.6164,44.8252
100,0.7,16,42.42,0.651622,43.4409,44.7337,45.558,46.2362
100,0.7,17,42.02,0.616296,42.626,43.9069,44.6821,46.0597
100,0.7,18,41.58,0.680684,41.7575,43.3141,44.594,45.8236
100,0.7,19,42.48,0.719329,42.0149,44.7075,45.3193,46.8164
100,0.7,20,42.49,0.635228,43.2397,44.9877,45.6116,46.756
100,0.7,21,42.11,0.730659,43.2379,44.048,45.1562,46.5056
100,0.7,22,41.81,0.690452,42.4989,43.835,44.6058,45.6944
100,0.7,23,40.5,0.671752,40.7285,43.1689,44.0251,44.7945
100,0.7,24,41.09,0.672351,41.8579,43.3423,43.632,45.0585
100,0.7,25,41.66,0.670189,41.7563,43.9493,44.6536,45.7417
100,0.7,26,41.71,0.629913,42.1796,43.9136,44.7032,45.9442
100,0.7,27,41.9,0.641129,42.2789,44.6665,45.0294,46.1792
